Pi Fraction Statistical Data
Created 09-18-2016 11:01:54

#fractions: 215830
Mean value: 0.499283729688375

 Norm Bin#    PDF       CDF
0.42600000  1.0286   0.42696567
0.42700000  0.9684   0.42793402
0.42800000  1.0379   0.42897188
0.42900000  0.9545   0.42992633
0.43000000  1.0147   0.43094102
0.43100000  1.0518   0.43199277
0.43200000  1.0008   0.43299356
0.43300000  0.9730   0.43396655
0.43400000  0.9174   0.43488394
0.43500000  0.9730   0.43585692
0.43600000  1.0147   0.43687161
0.43700000  1.0379   0.43790947
0.43800000  1.0842   0.43899365
0.43900000  1.0842   0.44007784
0.44000000  1.0518   0.44112959
0.44100000  0.9220   0.44205161
0.44200000  1.0564   0.44310800
0.44300000  0.9359   0.44404392
0.44400000  0.9915   0.44503544
0.44500000  0.9962   0.44603160
0.44600000  0.9637   0.44699532
0.44700000  0.8386   0.44783394
0.44800000  1.0332   0.44886716
0.44900000  1.0981   0.44996525
0.45000000  1.0657   0.45103090
0.45100000  1.0935   0.45212436
0.45200000  0.9035   0.45302785
0.45300000  0.9267   0.45395450
0.45400000  1.1352   0.45508965
0.45500000  0.9128   0.45600241
0.45600000  0.9776   0.45698003
0.45700000  0.9823   0.45796229
0.45800000  0.9313   0.45889357
0.45900000  0.8711   0.45976463
0.46000000  1.0193   0.46078395
0.46100000  0.8757   0.46165964
0.46200000  1.0564   0.46271603
0.46300000  1.0286   0.46374461
0.46400000  0.9637   0.46470834
0.46500000  1.1074   0.46581569
0.46600000  1.0564   0.46687208
0.46700000  0.9869   0.46785896
0.46800000  1.0425   0.46890145
0.46900000  1.0888   0.46999027
0.47000000  0.8942   0.47088449
0.47100000  0.9452   0.47182968
0.47200000  0.9406   0.47277024
0.47300000  1.0008   0.47377102
0.47400000  0.9869   0.47475791
0.47500000  1.0518   0.47580967
0.47600000  1.0935   0.47690312
0.47700000  1.0147   0.47791781
0.47800000  1.0471   0.47896493
0.47900000  0.8850   0.47984988
0.48000000  0.9962   0.48084604
0.48100000  1.0749   0.48192096
0.48200000  1.0332   0.48295418
0.48300000  0.8989   0.48385303
0.48400000  0.9452   0.48479822
0.48500000  1.0193   0.48581754
0.48600000  0.9637   0.48678126
0.48700000  0.9498   0.48773108
0.48800000  1.0564   0.48878747
0.48900000  0.9267   0.48971413
0.49000000  1.0193   0.49073345
0.49100000  1.0657   0.49179910
0.49200000  0.9452   0.49274429
0.49300000  0.9313   0.49367558
0.49400000  1.0471   0.49472270
0.49500000  0.9823   0.49570495
0.49600000  0.9267   0.49663161
0.49700000  1.0610   0.49769263
0.49800000  0.9962   0.49868878
0.49900000  1.0332   0.49972200
0.50000000  1.0610   0.50078302
0.50100000  0.9776   0.50176064
0.50200000  0.9498   0.50271047
0.50300000  0.9452   0.50365565
0.50400000  1.0564   0.50471204
0.50500000  1.0981   0.50581013
0.50600000  0.9220   0.50673215
0.50700000  1.0147   0.50774684
0.50800000  1.0471   0.50879396
0.50900000  1.0518   0.50984571
0.51000000  1.0193   0.51086503
0.51100000  0.9637   0.51182875
0.51200000  0.7599   0.51258861
0.51300000  1.0657   0.51365426
0.51400000  0.9823   0.51463652
0.51500000  1.0981   0.51573461
0.51600000  1.0425   0.51677709
0.51700000  1.0240   0.51780105
0.51800000  0.9313   0.51873234
0.51900000  0.9081   0.51964046
0.52000000  1.0981   0.52073854
0.52100000  1.1722   0.52191076
0.52200000  0.8896   0.52280035
0.52300000  1.0657   0.52386601
0.52400000  0.8803   0.52474633
0.52500000  0.9267   0.52567298
0.52600000  0.9545   0.52662744
0.52700000  1.1352   0.52776259
0.52800000  0.9081   0.52867071
0.52900000  1.0332   0.52970393
0.53000000  0.9128   0.53061669
0.53100000  0.9452   0.53156188
0.53200000  1.0286   0.53259046
0.53300000  1.0935   0.53368392
0.53400000  1.1444   0.53482834
0.53500000  1.0379   0.53586619
0.53600000  0.8664   0.53673261
0.53700000  0.9267   0.53765927
0.53800000  1.0054   0.53866469
0.53900000  1.0703   0.53973498
0.54000000  1.0240   0.54075893
0.54100000  0.9776   0.54173655
0.54200000  0.9174   0.54265394
0.54300000  0.9591   0.54361303
0.54400000  1.0286   0.54464162
0.54500000  0.9591   0.54560070
0.54600000  1.0008   0.54660149
0.54700000  1.0054   0.54760691
0.54800000  0.9915   0.54859843
0.54900000  0.9730   0.54957142
0.55000000  0.9823   0.55055368
0.55100000  0.9267   0.55148033
0.55200000  1.1074   0.55258768
0.55300000  0.9730   0.55356067
0.55400000  1.0703   0.55463096
0.55500000  0.9776   0.55560858
0.55600000  0.9730   0.55658157
0.55700000  1.0564   0.55763796
0.55800000  0.9035   0.55854144
0.55900000  0.9591   0.55950053
0.56000000  0.9684   0.56046889
0.56100000  0.9591   0.56142798
0.56200000  1.0379   0.56246583
0.56300000  0.9591   0.56342492
0.56400000  0.9452   0.56437011
0.56500000  1.0425   0.56541259
0.56600000  0.9730   0.56638558
